,Posted Date,Effective Date,Transaction Description,Transaction Code Description,Check Number,Debit Amount,Credit Amount
197,18 May 2020,18 May 2020,C/A ATM/TB TRANSFER DT (CHECKING TO CHECKING),6ee601144bd38a3b868167967b4babb8,510860,4000.0,0.0
198,15 May 2020,15 May 2020,CREDIT MEMO,3129f0fa6036e2f067d3e25eee33190f,177853,0.0,100.0
199,13 May 2020,13 May 2020,CREDIT MEMO,91a577841dcf12400bdee5bf7ef26865,175162,0.0,50.0
200,11 May 2020,11 May 2020,C/A ATM/TB BILL PAYMENT DT,a68ddacd5b1b52aa7bc1edd828d68d9a,980904,900.0,0.0
201,11 May 2020,11 May 2020,C/A ATM/TB TRANSFER DT (CHECKING TO CHECKING),6ee601144bd38a3b868167967b4babb8,923516,4050.0,0.0
202,11 May 2020,11 May 2020,C/A ATM/TB TRANSFER CR,0012087c6785558a6f270627fbf3e0c9,920188,0.0,8000.0
203,8 May 2020,8 May 2020,DEBIT NOTE,9227fedefda4321973ce1e025cc3f474, ,26.54,0.0
204,8 May 2020,8 May 2020,DEBIT NOTE,dd9cbb568e7d1a9c5d7fc8e86e241875, ,12.67,0.0
205,8 May 2020,8 May 2020,DEBIT NOTE,408aef6311dc9861e736226148a33c32,169623,4505.34,0.0
206,8 May 2020,8 May 2020,C/A ATM/TB TRANSFER CR,0e0c707b024d0af38eaa0500079de989,782837,0.0,7000.0
207,5 May 2020,5 May 2020,C/A ATM/TB BILL PAYMENT DT,d596d89bab4a0e371b19bcc2d41ce2f2,528619,600.0,0.0
208,5 May 2020,5 May 2020,C/A ATM/TB TRANSFER CR,f0ec2c43540191de9838a2efafb81a16,468524,0.0,600.0
209,5 May 2020,5 May 2020,C/A ATM/TB BILL PAYMENT DT,6cdaa1e5ed425d3bc580740297ae2dff,440380,79.0,0.0
210,4 May 2020,4 May 2020,C/A ATM/TB TRANSFER CR,0d890aca43c858e0253e7203dfc1ee52,303348,0.0,565.0
211,4 May 2020,4 May 2020,DEBIT NOTE,3be5243184218dd780dda06d8ff2c70b, ,26.54,0.0
212,4 May 2020,4 May 2020,DEBIT NOTE,589870cea6e7f3540cbb24d283500606, ,10.06,0.0
213,4 May 2020,4 May 2020,DEBIT NOTE,2e4920d93632afd16bca76b318d758ff,160436,255.34,0.0
214,4 May 2020,4 May 2020,C/A ATM/TB BILL PAYMENT DT,a68ddacd5b1b52aa7bc1edd828d68d9a,274745,691.0,0.0
